Gender,Category,Sub Category,Link
Man,Jackets,Leather effect,https://www.zara.com/in/en/man-jackets-faux-leather-l650.html?v1=2467338
Man,Jackets,Puffers,https://www.zara.com/in/en/man-outerwear-padded-l722.html?v1=2467342
Man,Jackets,100% down,https://www.zara.com/in/en/man-jackets-l640.html?v1=2522372
Man,Jackets,Leather,https://www.zara.com/in/en/man-outerwear-leather-l4550.html?v1=2469850
Man,Jackets,Shearling,https://www.zara.com/in/en/man-shearling-jackets-l8170.html?v1=2496353
Man,Jackets,Winbreaks,https://www.zara.com/in/en/man-outerwear-rain-l4547.html?v1=2519401
Man,Jackets,Denim,https://www.zara.com/in/en/man-jackets-denim-l648.html?v1=2467337
Man,Jackets,Gilet,https://www.zara.com/in/en/man-outerwear-vests-l730.html?v1=2467343
Man,Jackets,Bomber,https://www.zara.com/in/en/man-jackets-bombers-l645.html?v1=2467339
Man,Jackets,Overshirts,https://www.zara.com/in/en/man-overshirts-l3174.html?v1=2473842
Man,Sweater & cardigans,Cardigan,https://www.zara.com/in/en/man-knitwear-cardigans-l685.html?v1=2432243
Man,Sweater & cardigans,Turtle neck,https://www.zara.com/in/en/man-knitwear-turtleneck-l2518.html?v1=2432244
Man,Sweater & cardigans,Quarter zip,https://www.zara.com/in/en/man-knitwear-quarter-zip-l7129.html?v1=2432260
Man,Sweater & cardigans,Polo shirts,https://www.zara.com/in/en/man-polos-knitwear-l1701.html?v1=2432247
Man,Sweater & cardigans,Printed,https://www.zara.com/in/en/man-knitwear-printed-l696.html?v1=2432249
Man,Sweater & cardigans,Short sleeve,https://www.zara.com/in/en/man-knitwear-short-sleeved-l698.html?v1=2432258
Man,Sweater & cardigans,Sleeveless,https://www.zara.com/in/en/man-knitwear-vest-l4384.html?v1=2432242
Man,Trousers,Chinos,https://www.zara.com/in/en/man-trousers-chinos-l845.html?v1=2432064
Man,Trousers,Corduroy,https://www.zara.com/in/en/man-trousers-corduroy-l2528.html?v1=2432092
Man,Trousers,Joggers,https://www.zara.com/in/en/man-trousers-joggers-l849.html?v1=2432098
Man,Trousers,Cargo,https://www.zara.com/in/en/man-trousers-cargo-l1780.html?v1=2432067
Man,Trousers,Tailored,https://www.zara.com/in/en/man-trousers-formal-l847.html?v1=2432075
Man,Trousers,Wide leg,https://www.zara.com/in/en/man-trousers-wide-l4143.html?v1=2432088
Man,Trousers,Linen,https://www.zara.com/in/en/man-trousers-linen-l851.html?v1=2432072
Man,Trousers,Shorts,https://www.zara.com/in/en/man-bermudas-l592.html?v1=2432093
Man,Jeans,Under 2950,https://www.zara.com/in/en/man-trend-68-l5683.html?v1=2432102
Man,Hoodie & sweatshirts,Hoodies,https://www.zara.com/in/en/man-sweatshirts-hoodies-l1525.html?v1=2432226
Man,Hoodie & sweatshirts,Quarter zip,https://www.zara.com/in/en/man-sweatshirts-quarter-zip-l7128.html?v1=2432220
Man,Hoodie & sweatshirts,Round neck,https://www.zara.com/in/en/man-sweatshirts-round-colors-l3091.html?v1=2432209
Man,Hoodie & sweatshirts,Prints,https://www.zara.com/in/en/man-sweatshirts-printed-l828.html?v1=2432235
Man,T-shirts,Long sleeve,https://www.zara.com/in/en/man-tshirts-long-length-l863.html?v1=2432015
Man,T-shirts,Plain & Polo shirts,https://www.zara.com/in/en/man-tshirts-plain-l865.html?v1=2432014
Man,T-shirts,Sleeveless,https://www.zara.com/in/en/man-tshirts-sleeveless-l870.html?v1=2432034
Man,Shirts,Plain & formal,https://www.zara.com/in/en/man-shirts-plain-l757.html?v1=2431987
Man,Shirts,Stretch,https://www.zara.com/in/en/man-stretch-l6237.html?v1=2431979
Man,Shirts,Printed,https://www.zara.com/in/en/man-shirts-printed-l759.html?v1=2431971
Man,Shirts,Checked,https://www.zara.com/in/en/man-shirts-check-l745.html?v1=2431969
Man,Shirts,Short sleeve,https://www.zara.com/in/en/man-shirts-short-sleeved-l762.html?v1=2431977
Man,Shirts,Linen,https://www.zara.com/in/en/man-shirts-linen-l754.html?v1=2431973
Man,Shirts,Denim,https://www.zara.com/in/en/man-shirts-denim-l748.html?v1=2431970
Man,Polo Shirts,Printed,https://www.zara.com/in/en/man-polos-printed-l1659.html?v1=2432061
Man,Polo Shirts,Short sleeve,https://www.zara.com/in/en/man-polos-short-sleeve-l7194.html?v1=2432054
Man,Polo Shirts,Long sleeve,https://www.zara.com/in/en/man-polos-long-sleeve-l2550.html?v1=2432048
Man,Polo Shirts,Knitwear,https://www.zara.com/in/en/man-polos-knitwear-l1701.html?v1=2432060